Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
191,Navy,31,13,18,0.419,-11.69,-9.53,8,10,10,5,3,13,2060,2067,1250,716,1809,0.396,181,603,0.3,447,631,0.708,386,1104,376,207,63,317,559
192,NC State NCAA,40,26,14,0.65,12.85,8.55,9,11,12,5,4,7,3051,2879,1620,1096,2426,0.452,280,808,0.347,579,790,0.733,409,1419,526,289,145,381,651
193,Nebraska NCAA,34,23,11,0.676,14.4,7.57,12,8,18,1,3,8,2643,2411,1375,912,2017,0.452,319,893,0.357,500,658,0.76,326,1280,521,214,89,377,539
194,Nevada NCAA,34,26,8,0.765,12.86,4.59,13,5,15,2,8,3,2582,2276,1365,881,1860,0.474,227,625,0.363,593,824,0.72,302,1167,511,214,121,342,599
195,Nevada-Las Vegas,34,21,13,0.618,8.38,6.26,12,6,13,6,8,4,2501,2341,1380,906,1959,0.462,231,685,0.337,458,633,0.724,350,1164,450,208,154,376,540
196,New Hampshire,31,16,15,0.516,-6.16,-3.63,7,9,9,5,7,10,2298,2297,1245,801,1934,0.414,275,848,0.324,421,565,0.745,285,1160,365,226,64,372,472
197,New Mexico NCAA,36,26,10,0.722,15.05,5.39,10,8,13,3,5,6,2916,2545,1440,1067,2343,0.455,233,711,0.328,549,776,0.707,462,1429,524,312,178,361,632
198,New Mexico State,32,13,19,0.406,-8.6,0.76,7,9,12,3,1,13,2166,2318,1295,771,1822,0.423,206,626,0.329,418,617,0.677,286,1079,359,195,98,382,636
199,New Orleans,33,10,23,0.303,-16.78,-5.88,4,14,7,6,2,15,2427,2622,1326,846,2023,0.418,179,589,0.304,556,772,0.72,377,1139,391,254,118,407,629
200,Niagara,32,16,16,0.5,-8.4,-7.2,11,9,5,9,10,6,2319,2307,1295,822,1749,0.47,199,550,0.362,476,633,0.752,235,975,409,180,70,378,480
201,Nicholls State,34,20,14,0.588,-7.12,-5.35,13,5,10,2,8,10,2512,2514,1405,849,1909,0.445,284,778,0.365,530,731,0.725,325,1199,387,229,140,450,636
202,NJIT,28,7,21,0.25,-14.64,-4.46,3,13,5,8,2,13,1902,2101,1120,663,1681,0.394,201,666,0.302,375,529,0.709,321,972,294,201,92,311,535
203,Norfolk State,35,24,11,0.686,-5.75,-7.75,11,3,15,0,6,8,2608,2364,1405,908,1978,0.459,223,656,0.34,569,788,0.722,384,1205,436,308,108,425,650
204,North Alabama,32,15,17,0.469,-7.15,-4.98,8,8,10,4,5,13,2447,2435,1306,857,1931,0.444,246,679,0.362,487,634,0.768,317,1132,359,171,101,324,589
205,North Carolina NCAA,37,29,8,0.784,21.37,9.91,17,3,14,1,8,2,3032,2608,1485,1046,2323,0.45,301,839,0.359,639,842,0.759,452,1520,536,214,151,373,611
206,North Carolina A&T,32,7,25,0.219,-16.3,-3.92,5,13,4,7,2,14,2098,2494,1280,726,1873,0.388,192,669,0.287,454,637,0.713,300,1020,326,180,104,300,488
207,North Carolina Central,31,18,13,0.581,-7.86,-8.83,9,5,11,2,6,9,2375,2139,1250,823,1812,0.454,233,681,0.342,496,714,0.695,349,1097,398,237,83,372,552
208,North Dakota,32,18,14,0.563,-6.22,-6.08,10,6,9,5,7,8,2408,2300,1285,858,1934,0.444,264,809,0.326,428,600,0.713,366,1171,371,202,96,324,485
209,North Dakota State,32,15,17,0.469,-7.56,-3.14,8,8,10,4,5,11,2388,2366,1315,873,1834,0.476,252,667,0.378,390,543,0.718,271,1097,370,139,43,355,468
210,North Florida,32,16,16,0.5,-6.93,-4.82,9,7,11,5,5,11,2496,2427,1295,849,1917,0.443,383,1063,0.36,415,542,0.766,284,1076,398,179,116,362,517
